Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Search Depth
fitness,38,1.39,10.53%,43.40%,00:04:37,4.68
found a job,38,1.11,23.68%,28.57%,00:03:22,2.34
free boilers,38,1.16,28.95%,36.36%,00:03:09,2.76
GPPAQ,38,1.21,2.63%,10.87%,00:03:34,1.92
hc1 form,38,1.18,28.95%,46.67%,00:00:37,0.66
hc2,38,1.13,44.74%,41.86%,00:00:47,0.32
health and safety act,38,1.39,18.42%,39.62%,00:01:57,0.84
health and safety regulations,38,1.45,28.95%,23.64%,00:04:37,1.34
hep a,38,1.42,7.89%,46.30%,00:00:56,1.50
HGV,38,1.18,5.26%,48.89%,00:02:16,2.74
hm revenue,38,1.29,23.68%,20.41%,00:03:02,2.61
how much,38,1.13,15.79%,37.21%,00:01:41,1.63
hpa,38,1.13,26.32%,37.21%,00:02:22,1.05
hr,38,1.47,18.42%,28.57%,00:02:40,2.63
imd,38,1.05,21.05%,62.50%,00:01:27,0.84
income based esa,38,1.34,13.16%,21.57%,00:03:54,4.16
indeed.co.uk,38,1.68,42.11%,12.50%,00:02:19,1.66
INS160,38,1.79,26.32%,29.41%,00:03:39,2.37
joiner,38,1.68,21.05%,4.69%,00:01:56,1.61
junior isa,38,1.18,5.26%,11.11%,00:02:35,4.95
labelling,38,1.32,2.63%,26.00%,00:08:17,3.50
liverpool office,38,1.29,13.16%,38.78%,00:00:43,1.50
lone parents,38,1.47,10.53%,17.86%,00:05:58,4.61
lower thames crossing,38,1.32,0.00%,8.00%,00:03:36,3.13
Maldives,38,1.26,10.53%,22.92%,00:03:03,3.63
manufacturing,38,1.42,5.26%,35.19%,00:04:16,3.42
mumps,38,1.34,15.79%,19.61%,00:01:38,1.55
national service frameworks,38,1.55,15.79%,28.81%,00:02:02,2.08
new keeper,38,1.21,13.16%,36.96%,00:03:39,1.89
open source,38,1.32,0.00%,28.00%,00:04:32,3.66
Opening hours,38,1.11,44.74%,23.81%,00:01:27,0.61
organ donation,38,1.55,23.68%,11.86%,00:02:33,2.26
papua new guinea,38,1.29,7.89%,44.90%,00:03:16,3.34
Passport prices,38,1.05,2.63%,20.00%,00:02:21,2.03
PASSPORTS,38,1.08,2.63%,31.71%,00:02:28,2.87
pension scheme,38,1.37,18.42%,26.92%,00:03:05,3.29
pensions credit,38,1.39,0.00%,20.75%,00:05:06,4.89
peterborough passport office,38,1.53,13.16%,6.90%,00:02:39,3.18
placing a job advert,38,1.13,18.42%,34.88%,00:03:12,1.95
PN1 form,38,1.11,7.89%,16.67%,00:06:58,5.24
polish,38,1.18,23.68%,31.11%,00:03:37,2.82
practice your driving theory test,38,1.03,0.00%,5.13%,00:01:22,1.13
private renting,38,1.34,13.16%,21.57%,00:05:04,4.05
quarantine,38,1.24,13.16%,27.66%,00:03:32,2.39
renew a childs passport,38,1.18,0.00%,22.22%,00:04:24,4.95
SC3,38,1.42,10.53%,16.67%,00:01:39,3.37
section 19 permit,38,1.42,26.32%,40.74%,00:03:59,2.03
security guard,38,1.29,26.32%,26.53%,00:02:18,1.08
services spain,38,1.45,0.00%,40.00%,00:15:29,3.87
shanghai,38,1.08,13.16%,24.39%,00:02:17,2.24
sick benefits,38,1.37,7.89%,21.15%,00:03:17,3.76
student finanace,38,1.13,2.63%,41.86%,00:01:15,1.79
sure start maternity,38,1.24,0.00%,25.53%,00:05:28,3.97
Tax refund,38,1.13,2.63%,32.56%,00:03:00,2.82
tax refunds,38,1.05,15.79%,17.50%,00:01:46,2.32
tax renewal,38,1.05,2.63%,17.50%,00:03:33,2.11
tracking service,38,1.18,10.53%,28.89%,00:01:26,1.92
trainer booker,38,1.34,0.00%,5.88%,00:03:46,2.39
travel card,38,1.26,13.16%,62.50%,00:01:20,1.45
travelling,38,1.21,13.16%,43.48%,00:02:23,2.03
V14 form,38,1.08,5.26%,9.76%,00:01:08,1.84
vaccancies,38,1.13,18.42%,34.88%,00:02:05,1.58
vacinations,38,1.18,23.68%,51.11%,00:00:55,1.79
vc5,38,1.39,5.26%,33.96%,00:04:57,2.50
visa free,38,1.11,26.32%,47.62%,00:02:20,2.37
voting,38,1.13,5.26%,20.93%,00:01:04,1.84
wage,38,1.42,5.26%,22.22%,00:02:42,4.82
what parish am I in,38,1.34,100.00%,0.00%,00:05:07,0.00
wind turbines,38,1.63,21.05%,29.03%,00:03:03,2.26
WINTER FUEL PAYMENT,38,1.24,2.63%,21.28%,00:01:58,2.79
zero hour contract,38,1.29,7.89%,30.61%,00:04:39,4.32
zoo,38,1.39,15.79%,24.53%,00:03:55,2.29
accident,37,1.08,18.92%,47.50%,00:03:11,2.76
apply for a passport,37,1.32,2.70%,24.49%,00:03:58,2.92
apply for benefits,37,1.16,16.22%,37.21%,00:05:28,3.62
apprenticships,37,1.16,5.41%,16.28%,00:01:57,2.14
benefit advance,37,1.24,40.54%,32.61%,00:02:24,1.32
bonds,37,1.30,45.95%,31.25%,00:01:49,0.57
border force,37,1.05,2.70%,33.33%,00:03:18,3.03
bradford,37,1.30,24.32%,27.08%,00:02:47,1.81
BUS PASS,37,1.19,0.00%,9.09%,00:03:20,7.14
business case,37,1.32,21.62%,34.69%,00:01:55,1.49
busking,37,1.14,8.11%,7.14%,00:00:37,1.97
c.v,37,1.08,72.97%,17.50%,00:00:57,1.41
cancellation,37,1.24,13.51%,34.78%,00:04:29,2.76
car tax renewal,37,1.03,5.41%,2.63%,00:03:12,1.78
Change bank details,37,1.11,18.92%,43.90%,00:01:49,1.86
clinical excellence awards,37,1.41,10.81%,7.69%,00:03:48,3.73
commonwealth,37,1.16,21.62%,23.26%,00:04:01,2.46
community legal advice,37,1.24,5.41%,15.22%,00:04:42,2.43
compensation recovery unit,37,1.16,27.03%,32.56%,00:01:17,0.86
consulates,37,1.19,16.22%,61.36%,00:02:01,1.81
Courses,37,1.11,21.62%,41.46%,00:03:23,2.05
cpc training,37,1.43,8.11%,13.21%,00:04:25,3.89
cycle lanes,37,1.54,18.92%,15.79%,00:03:02,3.92
d184,37,1.35,5.41%,34.00%,00:05:35,4.22
damaged passports,37,1.54,13.51%,10.53%,00:04:17,2.81
DBS check,37,1.11,5.41%,24.39%,00:01:59,2.92
deaf,37,1.27,27.03%,29.79%,00:03:13,2.62
department yellow,37,1.30,10.81%,37.50%,00:02:41,2.11
digicard,37,1.16,8.11%,23.26%,00:04:48,3.00
digital tachograph card,37,1.41,5.41%,9.62%,00:03:39,3.65
driving hours,37,1.24,5.41%,26.09%,00:03:41,4.89
dsa obs,37,1.49,2.70%,16.36%,00:02:31,1.84
dvla telephone number,37,1.27,10.81%,17.02%,00:04:48,2.59
Dwp,37,1.11,13.51%,48.78%,00:03:03,2.16
employment laws,37,1.59,13.51%,27.12%,00:04:03,3.00
family tax credit,37,1.22,5.41%,24.44%,00:03:35,4.35
find local council,37,1.05,0.00%,0.00%,00:00:20,1.05
food bank,37,1.14,32.43%,30.95%,00:01:24,1.57
Funding,37,1.32,16.22%,32.65%,00:03:04,1.81
Gl24,37,1.19,5.41%,13.64%,00:02:20,2.38
GOOGLE,37,1.43,37.84%,32.08%,00:02:40,1.14
Green book,37,1.14,8.11%,38.10%,00:01:58,1.97
guardianship,37,1.16,35.14%,55.81%,00:00:30,0.38
hairdresser,37,1.43,18.92%,28.30%,00:03:20,3.49
Health card,37,1.00,72.97%,27.03%,00:00:28,0.11
job seakers,37,1.05,2.70%,51.28%,00:01:48,3.76
jobcenterplus,37,1.57,16.22%,20.69%,00:04:07,3.22
Jobseeker's Allowance,37,1.05,0.00%,7.69%,00:03:16,3.78
legal highs,37,1.59,18.92%,18.64%,00:03:21,2.14
leicester,37,1.22,24.32%,31.11%,00:01:00,1.46
liquidation,37,1.22,5.41%,33.33%,00:03:53,2.89
Lost,37,1.05,16.22%,33.33%,00:02:11,2.00
lost paper driving licence,37,1.05,8.11%,17.95%,00:04:34,2.00
maternity grants,37,1.38,10.81%,25.49%,00:05:15,7.03
means tested benefits,37,1.14,37.84%,33.33%,00:02:11,1.38
midwifery,37,1.27,27.03%,23.40%,00:01:28,0.95
Ministers,37,1.16,21.62%,25.58%,00:02:56,2.19
Motorcycle,37,1.19,10.81%,27.27%,00:05:04,3.73
my benefits,37,1.11,24.32%,48.78%,00:03:23,2.16
narrative reporting,37,1.89,8.11%,11.43%,00:02:24,3.14
national insurance contribution,37,1.30,8.11%,29.17%,00:04:08,3.30
National Insurance number,37,1.16,0.00%,13.95%,00:02:53,2.19
nice,37,1.16,8.11%,27.91%,00:02:43,1.68
night workers,37,1.19,5.41%,29.55%,00:05:04,3.97
northern cyprus,37,1.38,10.81%,23.53%,00:03:57,3.81
notarial spain,37,1.24,2.70%,26.09%,00:06:21,2.70
NSF,37,1.65,10.81%,26.23%,00:02:27,2.03
occupational health,37,1.76,27.03%,20.00%,00:03:11,3.43
olev,37,1.11,0.00%,2.44%,00:04:50,3.49
our health our care our say,37,1.32,40.54%,26.53%,00:02:25,2.14
Part time,37,1.05,32.43%,23.08%,00:00:46,0.97
partnerships,37,1.19,2.70%,47.73%,00:02:11,2.49
passport address,37,1.14,24.32%,16.67%,00:02:14,3.24
password,37,1.11,10.81%,39.02%,00:01:30,1.81
PbR,37,1.22,5.41%,46.67%,00:03:03,1.92
performance,37,1.38,8.11%,47.06%,00:05:22,2.97
personal independent payment,37,1.11,0.00%,14.63%,00:04:05,5.27
photo id,37,1.16,21.62%,41.86%,00:01:54,1.35
Procurement,37,1.32,10.81%,38.78%,00:02:35,1.65
quality assurance,37,1.35,16.22%,34.00%,00:01:12,1.73
ready reckoner,37,1.32,16.22%,44.90%,00:02:48,4.43
Redundancy calculator,37,1.24,0.00%,8.70%,00:06:04,6.05
registering,37,1.24,13.51%,47.83%,00:02:33,2.49
registration plates,37,1.16,13.51%,16.28%,00:01:44,2.32
Renew driving licence,37,1.03,0.00%,7.89%,00:03:24,1.81
renew tax,37,1.08,8.11%,12.50%,00:02:20,1.35
renewing a childs passport,37,1.14,5.41%,28.57%,00:03:34,3.22
rpi,37,1.22,32.43%,31.11%,00:01:45,1.14
Saudi Arabia,37,1.11,0.00%,43.90%,00:03:52,3.43
sc1,37,1.30,27.03%,43.75%,00:02:37,2.97
school nurse,37,2.19,16.22%,11.11%,00:05:24,4.38
SE04,37,1.41,0.00%,40.38%,00:02:56,5.32
self employed rights,37,1.19,37.84%,31.82%,00:05:50,3.11
separation,37,1.14,8.11%,23.81%,00:03:31,2.59
sf500,37,1.16,2.70%,23.26%,00:04:08,3.11
ssp calculator,37,1.11,0.00%,17.07%,00:06:46,10.46
State pensions,37,1.24,10.81%,23.91%,00:06:12,5.30
stop and search,37,1.41,5.41%,26.92%,00:03:18,2.49
Student,37,1.19,13.51%,22.73%,00:03:19,3.11
student funding,37,1.19,24.32%,6.82%,00:03:34,5.65
supporting people,37,1.70,18.92%,28.57%,00:03:37,2.22
surveys,37,1.11,21.62%,24.39%,00:01:45,1.49
tax class,37,1.38,8.11%,35.29%,00:03:00,2.16
tax online,37,1.05,2.70%,53.85%,00:03:23,1.51
tax relief,37,1.22,5.41%,40.00%,00:01:38,2.22
taxes,37,1.16,10.81%,37.21%,00:03:11,2.73
Telephone,37,1.08,27.03%,30.00%,00:02:16,1.54
templates,37,1.11,32.43%,41.46%,00:01:08,0.70
theory test centre,37,1.19,5.41%,22.73%,00:02:13,2.76
travel discount card,37,1.22,27.03%,40.00%,00:02:23,2.38
Travel to turkey,37,1.03,8.11%,5.26%,00:01:28,2.59
treaties,37,1.51,8.11%,26.79%,00:03:40,2.62
v85,37,1.24,16.22%,39.13%,00:00:44,1.41
Vacancy,37,1.16,13.51%,27.91%,00:02:34,3.03
van driver,37,1.57,27.03%,12.07%,00:03:24,1.97
vehicle details enquiry,37,1.32,0.00%,2.04%,00:03:14,3.24
widows allowance,37,1.22,2.70%,35.56%,00:04:53,5.65
wind,37,1.68,13.51%,27.42%,00:06:00,3.30
winterbourne view,37,1.38,16.22%,13.73%,00:04:45,2.00
work place pensions,37,1.08,18.92%,15.00%,00:07:58,5.54
working in the uk,37,1.24,27.03%,23.91%,00:03:22,3.27
working together,37,1.43,18.92%,32.08%,00:01:08,1.57
yahoo.com,37,1.70,40.54%,22.22%,00:04:19,0.86
about us,36,1.22,19.44%,34.09%,00:02:56,2.31
accountability,36,1.22,16.67%,43.18%,00:03:14,1.72
armed forces day,36,1.47,27.78%,13.21%,00:02:30,1.94
bail,36,1.47,8.33%,26.42%,00:03:37,3.25
bar work,36,1.31,22.22%,27.66%,00:01:57,1.42
bbc sport,36,1.31,94.44%,4.26%,00:02:19,0.00
Benefit fraud,36,1.08,0.00%,5.13%,00:02:16,1.89
BEREAVEMENT,36,1.44,13.89%,17.31%,00:02:20,3.97
bhutan,36,1.25,2.78%,40.00%,00:02:12,7.39
book,36,1.28,13.89%,26.09%,00:04:26,2.92
budget 2011,36,1.28,30.56%,23.91%,00:01:25,2.14
calculater,36,1.11,16.67%,27.50%,00:03:36,2.14
ccg2,36,1.28,2.78%,21.74%,00:02:29,4.39
certificate,36,1.14,16.67%,41.46%,00:01:33,1.42
Change of circumstances,36,1.14,8.33%,36.59%,00:02:39,2.67
change taxation class,36,1.08,13.89%,41.03%,00:02:07,2.67
cheque payable to,36,1.03,16.67%,35.14%,00:01:00,1.11
chicken pox,36,1.19,27.78%,34.88%,00:00:52,1.08
child dla,36,1.06,8.33%,13.16%,00:03:04,5.22
child passports,36,1.14,5.56%,14.63%,00:04:38,4.61
cigarettes,36,1.42,33.33%,27.45%,00:01:03,1.17
cites,36,1.19,19.44%,25.58%,00:03:18,1.53
claiming benefits,36,1.25,11.11%,26.67%,00:06:44,4.53
community care,36,1.56,16.67%,30.36%,00:03:24,2.44
compassion in practice,36,1.28,25.00%,21.74%,00:02:00,1.22
consular,36,1.39,5.56%,42.00%,00:02:44,4.25
contact gov.uk,36,1.17,19.44%,50.00%,00:02:59,1.64
Counterpart,36,1.11,11.11%,52.50%,00:02:34,1.56
countersigning,36,1.11,2.78%,15.00%,00:02:37,2.17
CRC,36,1.50,5.56%,20.37%,00:04:31,2.75
dangerous goods,36,1.44,22.22%,28.85%,00:02:35,2.56
date,36,1.42,2.78%,13.73%,00:14:26,2.56
Dbs,36,1.19,5.56%,13.95%,00:02:34,3.94
dbs filtering,36,1.19,16.67%,25.58%,00:03:07,2.58
DCMS,36,1.31,5.56%,29.79%,00:05:18,4.11
Dementia,36,1.11,38.89%,20.00%,00:01:33,1.08
DIO,36,1.92,5.56%,20.29%,00:04:15,4.47
dla404,36,1.36,11.11%,42.86%,00:03:33,3.17
DRIVER CPC,36,1.19,5.56%,9.30%,00:01:08,1.78
Driving instructor,36,1.19,8.33%,41.86%,00:03:31,3.11
dvla office,36,1.17,5.56%,7.14%,00:03:17,3.17
e-mail,36,1.17,33.33%,35.71%,00:02:43,1.61
emergency planning,36,1.39,19.44%,30.00%,00:03:26,2.14
enterprise zones,36,1.53,22.22%,12.73%,00:03:34,2.44
environmental health,36,1.47,33.33%,26.42%,00:03:16,2.17
etd,36,1.22,13.89%,63.64%,00:07:26,3.47
EUPR1A,36,1.28,8.33%,17.39%,00:04:57,3.97
factory,36,1.25,30.56%,26.67%,00:00:57,1.28
fashion,36,1.28,8.33%,28.26%,00:02:56,4.06
faulty goods,36,1.33,5.56%,6.25%,00:01:13,1.81
Finance Bill 2013,36,1.44,13.89%,13.46%,00:02:55,2.81
First passport,36,1.17,8.33%,28.57%,00:02:27,3.31
Form,36,1.06,8.33%,65.79%,00:02:01,1.56
free childcare,36,1.11,2.78%,20.00%,00:02:38,2.22
hand hygiene,36,1.67,13.89%,30.00%,00:01:52,1.86
hand washing,36,1.31,30.56%,38.30%,00:01:13,1.08
highways agency,36,1.31,30.56%,17.02%,00:01:22,1.44
holiday allowance,36,1.03,0.00%,10.81%,00:06:27,7.31
Home office,36,1.06,8.33%,36.84%,00:04:06,2.75
housing benefit form,36,1.22,5.56%,13.64%,00:03:02,2.75
income tax rates,36,1.11,5.56%,40.00%,00:02:12,2.36
integrated care,36,1.22,8.33%,20.45%,00:03:53,2.28
internal audit,36,1.50,8.33%,25.93%,00:02:59,2.47
interview offices,36,1.17,0.00%,11.90%,00:02:12,2.81
job seeker's allowance,36,1.19,0.00%,23.26%,00:05:16,4.14
Kazakhstan,36,1.11,2.78%,47.50%,00:02:44,3.47
london office,36,1.06,2.78%,39.47%,00:03:09,2.36
lpg,36,1.36,36.11%,36.73%,00:01:38,1.50
mature students,36,1.25,2.78%,22.22%,00:03:39,4.14
mental health act 1983,36,1.33,44.44%,29.17%,00:01:00,1.11
minimum pay,36,1.14,8.33%,12.20%,00:06:50,4.83
motorway,36,1.17,0.00%,21.43%,00:02:33,4.14
msn,36,1.22,44.44%,31.82%,00:03:00,1.36
New Enterprise Allowance,36,1.42,5.56%,25.49%,00:04:37,2.94
Nhs,36,1.11,33.33%,32.50%,00:00:53,1.14
notarial services,36,1.06,2.78%,65.79%,00:04:21,1.83
offshore,36,1.47,16.67%,35.85%,00:02:31,2.58
Opening times,36,1.03,38.89%,24.32%,00:01:35,1.31
overseas territories,36,1.64,13.89%,23.73%,00:07:29,6.67
PA2,36,1.31,13.89%,42.55%,00:03:07,2.06
part time workers,36,1.28,8.33%,39.13%,00:03:36,2.72
Pass plus,36,1.03,0.00%,18.92%,00:02:58,3.56
passport expiry dates,36,1.17,30.56%,33.33%,00:01:46,1.97
paying a fine,36,1.14,19.44%,24.39%,00:03:43,1.97
payment form,36,1.19,5.56%,55.81%,00:02:04,3.03
pip application form,36,1.11,8.33%,37.50%,00:03:51,5.17
place a job advert,36,1.28,16.67%,36.96%,00:01:37,1.47
PTL1,36,1.25,13.89%,51.11%,00:02:11,3.17
qualifying years,36,1.17,2.78%,30.95%,00:05:45,4.44
R40,36,1.28,8.33%,17.39%,00:03:28,3.00
rail franchising,36,1.56,11.11%,12.50%,00:02:13,3.00
refund tax disc,36,1.11,8.33%,5.00%,00:02:38,1.97
register self employed,36,1.39,8.33%,26.00%,00:03:07,2.75
register travel,36,1.17,25.00%,38.10%,00:01:38,2.86
Registration,36,1.08,5.56%,64.10%,00:01:43,1.42
regulations,36,1.31,27.78%,38.30%,00:04:16,2.00
rehabilitation,36,1.39,5.56%,60.00%,00:02:15,2.11
renew my photo,36,1.08,0.00%,2.56%,00:04:21,1.94
residency order,36,1.25,16.67%,33.33%,00:02:37,2.94
retraining,36,1.19,25.00%,23.26%,00:02:28,2.67
returning old licence,36,1.19,8.33%,34.88%,00:02:43,1.67
s1 form,36,1.42,19.44%,31.37%,00:02:03,1.72
scrapped,36,1.14,8.33%,17.07%,00:03:09,3.33
secretary of state,36,1.17,19.44%,23.81%,00:01:56,2.50
SELF EMPLOYED,36,1.33,8.33%,25.00%,00:04:08,3.61
sfa,36,1.25,8.33%,15.56%,00:02:13,1.72
shift work,36,1.47,47.22%,20.75%,00:03:20,2.81
single parents,36,1.33,30.56%,20.83%,00:05:11,4.81
skills for life,36,1.31,30.56%,8.51%,00:03:06,2.94
SMI,36,1.36,0.00%,24.49%,00:05:07,4.94
special educational needs,36,1.42,8.33%,35.29%,00:03:08,3.67
speed cameras,36,1.61,11.11%,27.59%,00:03:55,1.83
SURE START MATERNITY GRANT,36,1.33,8.33%,18.75%,00:01:11,3.25
theory test book,36,1.28,2.78%,8.70%,00:03:07,1.92
tracking passport application,36,1.28,5.56%,13.04%,00:02:15,3.25
transforming rehabilitation,36,1.75,19.44%,12.70%,00:02:53,3.50
under 18,36,1.28,11.11%,50.00%,00:01:54,2.31
uploads,36,1.28,11.11%,52.17%,00:02:57,3.03
uruguay,36,1.17,0.00%,50.00%,00:02:31,2.64
Usa,36,1.06,5.56%,50.00%,00:01:52,1.67
v149,36,1.44,5.56%,15.38%,00:01:40,2.78
v55/4,36,1.56,16.67%,25.00%,00:04:32,4.42
vehicle tax refund,36,1.19,8.33%,6.98%,00:03:26,2.00
verbal warning,36,1.33,25.00%,29.17%,00:02:06,2.53
Vic,36,1.25,0.00%,8.89%,00:06:28,5.03
VIC1,36,1.36,5.56%,4.08%,00:05:16,3.83
visitor visa,36,1.19,13.89%,27.91%,00:02:06,1.39
Volunteering,36,1.11,8.33%,12.50%,00:02:56,3.08
WINTER FUEL,36,1.44,0.00%,28.85%,00:03:50,3.36
zero hours contract,36,1.36,13.89%,14.29%,00:03:52,6.53
16,35,1.26,11.43%,34.09%,00:04:07,2.51
adb,35,1.26,14.29%,25.00%,00:02:28,1.74
adi registration,35,1.20,0.00%,21.43%,00:05:23,3.29
All jobs,35,1.23,22.86%,6.98%,00:01:55,1.69
apply for british passport,35,1.29,5.71%,17.78%,00:06:38,5.09
attendance allowance form,35,1.29,5.71%,15.56%,00:07:00,4.14
bankrupt,35,1.09,2.86%,26.32%,00:04:25,3.34
basic disclosure,35,1.17,20.00%,19.51%,00:02:26,1.94
benefit cheats,35,1.14,2.86%,5.00%,00:02:51,1.94
berevement,35,1.31,14.29%,32.61%,00:03:39,4.37
braking distances,35,1.34,8.57%,14.89%,00:05:07,5.00
break,35,1.09,0.00%,13.16%,00:02:10,3.63
british consulate,35,1.14,20.00%,57.50%,00:02:59,1.06
Budget loans,35,1.14,11.43%,10.00%,00:02:02,4.17
budgetting loans,35,1.00,0.00%,17.14%,00:02:59,4.54
Cancer,35,1.23,31.43%,20.93%,00:01:54,1.49
Cape Verde,35,1.06,8.57%,29.73%,00:02:11,3.26
change of details,35,1.20,14.29%,54.76%,00:02:11,1.34
chapter 8,35,1.14,22.86%,40.00%,00:01:38,2.09
child maintenance calculator,35,1.06,0.00%,10.81%,00:03:53,6.23
child renewal,35,1.06,2.86%,35.14%,00:01:30,2.31
Citizenship,35,1.34,17.14%,17.02%,00:03:58,3.23
clothes,35,1.40,11.43%,42.86%,00:02:07,4.17
competitive dialogue,35,1.23,17.14%,20.93%,00:01:47,2.34
constant attendance allowance,35,1.00,5.71%,42.86%,00:05:46,4.09
constitution,35,1.23,20.00%,46.51%,00:01:02,1.46
counterpart licence,35,1.29,22.86%,46.67%,00:01:38,1.31
coventry,35,1.11,25.71%,33.33%,00:01:21,1.54
crime reduction,35,1.17,34.29%,29.27%,00:02:20,1.31
criminal records bureau,35,1.31,22.86%,21.74%,00:03:07,2.37
current year income,35,1.09,5.71%,36.84%,00:02:24,2.60
Dal,35,1.20,5.71%,80.95%,00:00:15,0.54
Data protection,35,1.23,11.43%,30.23%,00:05:28,2.83
DBS forms,35,1.31,11.43%,28.26%,00:03:13,2.74
death abroad,35,1.57,14.29%,14.55%,00:06:05,4.31
deferring state pension,35,1.23,0.00%,6.98%,00:06:56,5.63
directors,35,1.23,11.43%,48.84%,00:04:37,2.49
disability working allowance,35,1.34,28.57%,14.89%,00:05:29,4.26
Disclosure and Barring Service,35,1.34,5.71%,31.91%,00:08:04,6.74
divorce petition,35,1.20,22.86%,26.19%,00:01:36,1.89
DOLS,35,1.91,22.86%,23.88%,00:04:42,2.74
driving a minibus,35,1.26,0.00%,15.91%,00:02:38,3.74
ds700,35,1.20,5.71%,21.43%,00:06:28,5.63
dual carriageway,35,1.29,22.86%,26.67%,00:02:01,2.57
duplicate tax disc,35,1.20,2.86%,4.76%,00:02:23,2.40
durham,35,1.06,11.43%,37.84%,00:01:10,1.77
duty of candour,35,1.46,22.86%,9.80%,00:02:51,2.83
edinburgh,35,1.20,37.14%,19.05%,00:01:59,1.69
energy saving,35,1.57,17.14%,16.36%,00:04:02,4.51
expiry date,35,1.09,8.57%,65.79%,00:01:24,1.46
falklands,35,1.51,2.86%,30.19%,00:04:00,3.03
Fast track passport,35,1.09,2.86%,18.42%,00:02:03,1.94
financial sanctions list,35,1.17,5.71%,19.51%,00:02:34,2.00
find a job now,35,1.20,2.86%,2.38%,00:01:41,1.31
form d2,35,1.31,8.57%,26.09%,00:05:50,3.23
framework,35,1.46,31.43%,41.18%,00:01:08,1.66
francis,35,1.31,8.57%,60.87%,00:01:15,0.94
free dental treatment,35,1.34,34.29%,31.91%,00:02:17,1.26
full time education,35,1.31,20.00%,17.39%,00:01:43,1.94
funerals,35,1.23,14.29%,23.26%,00:04:50,4.37
gap year,35,1.31,22.86%,23.91%,00:03:05,2.77
gp,35,1.14,34.29%,32.50%,00:00:38,0.83
graduated pension,35,1.46,25.71%,27.45%,00:02:20,2.77
green economy,35,1.51,37.14%,13.21%,00:05:29,3.23
health and saftey,35,1.43,20.00%,32.00%,00:02:45,1.91
https://logon.slc.co.uk/reset/pages/ResetPasswordSecurity.xhtml?_locale=en_GB,35,1.43,20.00%,8.00%,00:03:45,2.31
iidb,35,1.29,0.00%,20.00%,00:05:20,4.69
IMD,35,1.06,14.29%,62.16%,00:01:00,0.63
immunisation green book,35,1.11,8.57%,20.51%,00:03:35,2.26
insulation grants,35,1.26,2.86%,25.00%,00:04:18,6.29
intellectual property,35,1.14,5.71%,22.50%,00:02:26,2.00
interpreter,35,1.26,22.86%,31.82%,00:03:22,2.23
jeremy hunt,35,1.23,11.43%,30.23%,00:02:41,1.89
job opportunity,35,1.23,22.86%,23.26%,00:02:15,2.03
jobsite,35,1.11,14.29%,38.46%,00:02:03,1.66
kit days,35,1.11,22.86%,43.59%,00:00:27,1.91
late payment,35,1.29,11.43%,20.00%,00:03:17,2.31
leasehold,35,1.31,8.57%,13.04%,00:04:39,3.63
licence renewal,35,1.11,8.57%,20.51%,00:04:12,2.03
list 99,35,1.20,28.57%,33.33%,00:00:48,0.91
lost V5C,35,1.20,0.00%,14.29%,00:01:48,1.89
major projects,35,1.57,5.71%,34.55%,00:05:14,4.63
major projects authority,35,1.49,11.43%,21.15%,00:04:50,4.86
Marmaris,35,1.11,20.00%,15.38%,00:01:22,1.40
medicines management,35,1.34,17.14%,38.30%,00:02:28,1.29
migration,35,1.60,8.57%,30.36%,00:05:14,4.69
mot exempt,35,1.74,5.71%,39.34%,00:02:33,2.60
Moving house,35,1.03,48.57%,19.44%,00:01:45,1.00
my claim,35,1.11,22.86%,33.33%,00:01:43,2.23
National Planning Policy Framework,35,1.17,2.86%,12.20%,00:02:30,1.89
New Zealand,35,1.14,5.71%,40.00%,00:02:16,3.26
nhs bursary,35,1.17,2.86%,14.63%,00:03:01,4.11
number plate suppliers,35,1.26,14.29%,18.18%,00:02:18,2.43
nurseries,35,1.31,14.29%,19.57%,00:03:45,3.34
online business service,35,1.26,0.00%,9.09%,00:04:14,2.66
parking fines,35,1.17,11.43%,24.39%,00:02:18,2.86
passport requirements,35,1.29,14.29%,35.56%,00:03:27,3.66
PD2,35,1.31,5.71%,15.22%,00:03:02,3.26
place of issue,35,1.09,28.57%,47.37%,00:00:56,1.00
practical test booking,35,1.20,2.86%,9.52%,00:02:34,2.74
ptl1,35,1.20,11.43%,45.24%,00:02:40,3.66
r40,35,1.20,11.43%,23.81%,00:02:09,1.83
reasonable adjustments,35,1.23,11.43%,20.93%,00:05:04,3.31
remuneration,35,1.43,17.14%,32.00%,00:01:10,2.26
rss,35,1.17,28.57%,17.07%,00:03:05,3.09
schizophrenia,35,1.34,20.00%,25.53%,00:02:38,2.26
scrap car,35,1.14,2.86%,15.00%,00:04:32,3.71
search jobs,35,1.11,8.57%,20.51%,00:01:25,1.31
self employed benefits,35,1.29,22.86%,28.89%,00:03:47,3.40
Serbia,35,1.23,0.00%,55.81%,00:01:48,2.83
small claim,35,1.11,20.00%,5.13%,00:02:42,2.51
temporary passport,35,1.26,11.43%,15.91%,00:02:28,2.69
Test centres,35,1.20,0.00%,19.05%,00:01:44,3.23
the pension service,35,1.29,8.57%,17.78%,00:06:23,4.26
the week,35,1.77,14.29%,22.58%,00:03:02,3.77
threshold,35,1.40,22.86%,40.82%,00:00:55,1.14
united arab emirates,35,1.06,2.86%,37.84%,00:05:11,4.17
